Year of Fiscal Year,Fiscal Year,Total Per Year (Nominal Apportionments),Total Per Year (Real) Apportionments
1940,1/1/1940,1400000,18158236.0570687
1941,1/1/1941,2300000,28750000
1942,1/1/1942,2570600,29890697.6744186
1943,1/1/1943,1150000,12568306.010929
1944,1/1/1944,920000,9704641.35021097
1945,1/1/1945,817500,8419155.50978373
1946,1/1/1946,900000,8612440.19138756
1947,1/1/1947,2300000,19844693.7014668
1948,1/1/1948,8308772,65474956.6587864
1949,1/1/1949,10825620,82512347.5609756
1950,1/1/1950,9963397,76996885.625966
1951,1/1/1951,8790517,64493888.4812913
1952,1/1/1952,17311031,122080613.540197
1953,1/1/1953,10145106,70256966.7590028
1954,1/1/1954,11904903,81484620.1232033
1955,1/1/1955,9906800,67301630.4347826
1956,1/1/1956,14423994,95523139.0728477
1957,1/1/1957,16380000,104597701.149425
1958,1/1/1958,17100000,106013639.181649
1959,1/1/1959,16526000,100891330.891331
1960,1/1/1960,15318273,92223196.8693558
1961,1/1/1961,14239298,84606642.8995841
1962,1/1/1962,14250666,83827447.0588235
1963,1/1/1963,13676573,79514959.3023256
1964,1/1/1964,16673077,95712267.5086108
1965,1/1/1965,16735003,94441326.1851016
1966,1/1/1966,19235998,106276232.044199
1967,1/1/1967,23532998,126182294.906166
1968,1/1/1968,26320000,136373056.994819
1969,1/1/1969,30319999,150247765.113974
1970,1/1/1970,31675001,148988715.898401
1971,1/1/1971,30799999,137869288.272158
1972,1/1/1972,34455000,147243589.74359
1973,1/1/1973,41045000,168079443.079443
1974,1/1/1974,47385000,181135321.100917
1975,1/1/1975,53470000,185273735.273735
1976,1/1/1976,58600000,189828312.277292
1977,1/1/1977,62900000,190030211.480363
1978,1/1/1978,82200000,232663458.81687
1979,1/1/1979,89000000,233106338.397067
1980,1/1/1980,83394000,200900987.713804
1981,1/1/1981,116960000,256547488.484317
1982,1/1/1982,107060000,219565217.391304
1983,1/1/1983,88450000,173806248.771861
1984,1/1/1984,79100000,150066401.062417
1985,1/1/1985,107471100,197303286.212594
1986,1/1/1986,108028900,193982582.151194
1987,1/1/1987,109900000,193010186.160871
1988,1/1/1988,119000000,202449812.861518
1989,1/1/1989,117200000,191628515.369523
1990,1/1/1990,157400000,248264984.227129
1991,1/1/1991,150600000,229363387.145903
1992,1/1/1992,156900000,233135215.453195
1993,1/1/1993,182081113,264345402.148664
1994,1/1/1994,211000000,299801079.852231
1995,1/1/1995,202377513,281549127.712855
1996,1/1/1996,165790260,226396640.721016
1997,1/1/1997,154808373,207712831.074735
1998,1/1/1998,165353469,219127311.15823
1999,1/1/1999,193168232,252738757.032579
2000,1/1/2000,204184371,261774834.615385
2001,1/1/2001,188656906,236293719.93988
2002,1/1/2002,213456365,263136544.625247
2003,1/1/2003,203674379,246579151.331719
2004,1/1/2004,235455853,278382422.558524
2005,1/1/2005,233310443,267680636.759982
2006,1/1/2006,266592809,296378887.159533
2007,1/1/2007,309686579,335158635.281385
2008,1/1/2008,336474545,356775045.06415
2009,1/1/2009,472719710,495513322.851153
2010,1/1/2010,384318790,399416742.880898
2011,1/1/2011,371274752,378311342.979417
2012,1/1/2012,522552011,522552011
2013,1/1/2013,760973830,747224891.987431
2014,1/1/2014,808492189,778894209.055877
2015,1/1/2015,695141699.203115,662039713.526776
2016,1/1/2016,780031696,736365237.420938
2017,1/1/2017,797160652.00181,739412533.161868
2018,1/1/2018,673586164,610574840.464104
