Year,Fiscal,Annual Rate,Annual Sales,Total Per Year (Nominal Apportionments),Total Per Year (Real) Apportionments,Trans Sales
2000,8/2/2000,3.08766,5841958,204184371,261774835,233678317
2001,8/2/2001,3.10953,7926323,188656906,236293720,317052908
2002,8/2/2002,2.740559,7064329,213456365,263136545,282573173
2003,8/2/2003,2.699519,7034521,203674379,246579151,281380849
2004,8/2/2004,2.764453,7286218,235455853,278382423,291448730
2005,8/2/2005,2.878945,7674440,233310443,267680637,306977594
2006,8/2/2006,3.037936,8193050,266592809,296378887,327721992
2007,8/2/2007,3.027022,8259668,309686579,335158635,330386716
2008,8/2/2008,3.413213,9428616,336474545,356775045,377144626
2009,8/2/2009,3.631268,10141285,472719710,495513323,405651409
2010,8/2/2010,3.485899,9846737,384318790,399416743,393869470
2011,8/2/2011,3.940952,11252091,371274752,378311343,450083638
2012,8/2/2012,4.922475,14206010,522552011,522552011,568240395
2013,8/2/2013,5.373538,15647525,760973830,747224892,625901001
2014,8/2/2014,4.629367,13617881,808492189,778894209,544715260
2015,8/2/2015,4.977639,14779131,695141699,662039714,591165251
2016,8/2/2016,5.590399,16743759,780031696,736365237,669750377
2017,8/2/2017,4.932564,12410393,797160652,739412533,496415722
